privacy.access.email.subject;Megosztott album ;Shared album;
site.config.title.1;Ez az elsõ lépés, hogy létrehozd saját portfólió oldalad. Add meg az alábbi adatokat majd mentés után szerkesztheted az odalt.;This is the first step for creating your own photo portfolio site. Please fill in the data below and after saving you can edit it.;
privacy.earlier;Megosztások;Shares;
privategallery;Privát portfólió;Private gallery;
password.remainder.email.sent;Új jelszavad elküldtük a fiókhoz tartozó e-mail címre.;Your new password was sent to account e-mail address.;
edit;Szerkesztés;Edit;
image.from.album.removed.failed;{0} kép csak ebben az albumban található meg. Biztos, hogy törlöd?;{0} image is available just in this album. Are You sure You want to delete it?;
album.prepublic;Publikusnak igényelve.;Requested public.;
public.gallery;Publikus portfólió;Public gallery;
siteadminemail;Értesítési e-mail cím;Contact e-mail address;
info.request;Információ kérése;Request info;
album.create.header;Új album létrehozása;Create new album;
newest.albums;Legújabb albumaid;The latest albums;
share;Megosztás;Share;
album.name.error;Adj meg 3 karakternél több és 32 karakternél rövidebb nevet. Speciális karakterek nem megendgedettek.;Please give more than 3 and less than 32 characters length name, special characters are not allowed.;
online.fotostore;online fotótár;online photo store;
check.noempty;Ez a mezõ nem hagyható üresen.;This field cannot be left empty.;
information;Információ;Information;
imageupload.info;Itt feltöltheted képeideit és albumokba rendezheted. Feltöltéshez válaszd ki a kívánt albumot és klikkelj a "Képfeltöltés" gombra. Új albumot az "Albumok" menüpont alatt tudsz létrehozni. ;Here you can upload your images and organize them in albums. Choice the desired album from selection box and click to "Upload" button. You can create and edit albums in "Albums" menu. ;
album.setrecommend;Szeretném fõoldalra ajánlani az albumban lévõ képeket.;I would like my pictures to appear on main page.;
enable.contact;Kapcsolat menüpont;Contact page;
upload.warning;Képfeltöltéshez be kell jelentkezned. Ha még nincs myFotoRoom.com fiókod fél perc alatt regisztrálhatsz. ;To be able to upload image You must login. If You don't have a myFotoRoom.com account the registration is just a piece of cake.;
fileupload.confirm;Elfogad;Accept;
imagehandler.desc;Képfeltöltés és képek albumokba rendezése. ;Image upload and handling.;
signup.error;A regisztráció nem sikerült! {0};Sign up error! {0};
privacy.desc.email;Oszd meg az albumot másokkal. Add meg a címzett e-mail címét és nevét. Kapni fog egy e-mailt amelybõl elérheti az albumodat.  ;Enter an e-mail address and a name.;
updatedata.text;A felhasználó neve nem változtatható. Módosíthatod a neved, az e-mail címed vagy a jelszavad. Jelszó módosításhoz add meg a kívánt jelszót kétszer.;If you want to change your password please fill in twice.;
default.album;Alapértelmezett album;Default Web album;
user;Felhasználó;User;
google.drive.sync.title;Google Drive szinkronizáció;Google Drive synchronization;
send;Elküld;Send;
signup.loginname.error;A választott email címmel már regisztráltak. Ha már korábban regisztráltál, de elfelejtetted a jelszót, akkor válaszd az új jelszó generálást.  ;This email address is already used. If this email address is yours and you forget the password, go to the login page and use the "Forgot password" service! ;
image.to.album.moved;{0} képet mozgattam a(z) "{1}" albumba;{0} images has been moved to "{1}" album;
enable.about.comment;Ha bepipálod, a portfólió oldalon megjelenik a Rólunk menüpont.;If you check this, the About menu will be shown on site.;
myfotoroom.main;myfotoroom.com;myfotoroom.com;
enable.contact.comment;Ha bepipálod, a portfólió oldalon megjelenik a Kapcsolat menüpont.;If you check this, the Contact menu will be shown on site.;
layout.simple;Egyszerû;Simple;
update.password.success;A jelszót módosítottuk.;Password update was successful.;
already.on.the.list;Már ki van választva!;This is already selected!;
name;Neve;Name;
login;Belépés;Login;
image.process.error;Képfeldolgozási hiba.;Image processing error.;
warning;Figyelmeztetés;Warning;
process.error;A szolgáltatás pillanatnyilag nem elérhetõ. A folyamatod azonosítója [{0}]. Ha továbbra is problémáid adódnak az oldal használatával, a kapcsolatok menüpontban elküldheted észrevételeidet, a folyamatazonosítóval.    ;Process error!;
pgallery;Galéria;Gallery;
delete.forbidden;Törlés nem engedélyezett mert;Delete isn't possible because;
refresh;Frissítés;Refresh;
portfolio.message.sent;Üzenet elküldve!;Message was sent!;
google.drive.sync.confirm;Ha szeretnéd, hogy Google Drive fotóid láthatóak legyenek a myFotoRoom-on, klikkelj a "Szinkronizációra". Ha a Google Drivon törölt képeket a myFotoRoom-on nem szeretnéd többé látni kattints a "Teljes szinkronizáció" gombbra. A szinkronizáció a háttérben történik és a fotók mennyiségétõl függõen több kevesebb idõt vesz ígénybe. A végeredményt az "Albumok" menüpont alatt tekintheted meg. ;If you would like to see your fotos in myFotoRoom the click to the "Synchronization". If you wouldn't like to see pictures deleted from Drive on myFotoRoom, then click to the "Full synchronization". ;
album.view;Album megtekintése.;View album.;
layout;Elrendezés;View;
images;kép;images;
cover.image.selector;Borítókép választás;Cover image selector;
remove.from.album;Törlés albumból;Remove from album;
fileupload.comment;Válaszd ki a feltölteni kívánt képet vagy képeket. Egy kép mérete maximálisan 10 Mb lehet.;Select images for upload. The maximum image size is 10 Mb.;
synchronize;Szinkronizáció;Synchronization ;
password.remainder.desc;Add meg az e-mail címed.;Enter your e-mail address and get a new password.;
simple.list;Lista nézet;List view;
privacy.access.email.sent;Az emailt elküldtük!;E-mail access is sent!;
album.desc;Leírás;Description ;
other.comment;Egyéb megjegyzés;Other comment;
signup.email.subject;Regisztráció jóváhagyás;Registration confirm;
invalid.form;Nem töltöttél ki minden mezõt.  ;Your fill isn't valid. Please check the error messages.;
update.data.success;Az adatokat módosítottuk.;Account data update was successful.;
password.check.error;A "Jelszó" és a "Jelszó ismét" mezõk meg kell eggyezzenek.;Fields "Password" and "Password again" must be equal. ;
portfolio.contact.empty;Írj üzenetet itt vagy keress fel az alábbi elérhetõségeken. ;Please send a message here or contact me on following address.   ;
image.to.album.added;{0} képet hozzáadtam a(z) "{1}" albumhoz;{0} images has been added to "{1}" album.;
google.login;Google loginhoz, kattints ide!;Click here for Google login!;
password;Jelszó;Password;
privacy.type;Hozzáférés típus;Access type;
fill.in;Kérlek ne hagyd üresen a mezõket!;Please fill form input fields!;
adatvedelem;Adatvédelmi tájékoztató;Adatv?delmi t?j?koztat?;
simpleheader.question;Fõoldal.;Main page.;
password.remainder.email.subject;Új jelszavad;Your new password;
imagehandler;Képkezelõ;Images;
ext.login.error.register;Próbáld meg újra vagy regisztrálj itt.;Please try it again or register here!;
download.all.original;Minden kép letöltése;Download all originals;
portfolio.gallery;{0} - Portfólió;{0} - Galleries ;
upload.process.done;{0} kép feldolgozása kész;{0} image process done;
logout;Kilépés;Logout;
general.error.message;Ideiglenesen az oldal nem elérhetõ, frissíts!;Temporary requested page isn't available. Please try to refresh!;
album.image.cnt;Képek;Images;
fileupload.cancel;Megszakítás;Cancel upload;
signup;Regisztráció;Sign up;
submit;Elküldés;Submit;
image.selector;Kép választó;Image selector;
about;Rólam;About;
photo.edit;Kép adatainak szerkesztése;Edit photo data;
next.public.albums;további publikus albumok;more public albums;
operations;Mûveletek;Edit;
siteurl;Url;Url;
delete;Törlés;Delete;
mydata;Fiók adatok;Account setup;
site.config.title;Itt módosíthatod a portfólió oldalad adatait.;Here you can change your photo portfolio site configuration.;
choose.file;Fájlok kiválasztása;Please select files;
delete.image;Törlés mindenhonnan;Delete from everywhere;
ext.login.success;Az azonosítás sikerült a {0} rendszerében!;You have been authenticated in {0}! ;
view;Album megtekintése. ;View;
please.fill.field;Kérlek töltsd ki a/z "{0}" mezõt!;Please fill the "{0}" field!;
loginname;E-mail cím;E-mail address;
myaccount;Üdvözlünk fiókodban!;My account;
data;Adatok;Data;
portfolio.contact;{0} - Kapcsolat;{0} - Contact;
loginname.not.found;A megadott e-mail címhez nincs felhasználó.;User not found.;
album.deleted;Az album törölve.;Album was deleted.;
no.images;Ez az album üres.;This album is empty.;
last.upload;Utoljára feltöltött képek;Last uploaded images ;
viewed;Megtekintve;Viewed;
account;Fiók;Account;
site.description;Leírás;Description;
gallery;Portfólió nézet;Gallery view;
portfolio;Portfólió;Portfolio;
save;Mentés;Save changes;
recipient.name;Címzett neve;Recipient name;
delete.site.message;Biztos, hogy törli a portfóliót? Ha törli többé nem lesz elérhetõ! ;Are you sure you want to delete your "{0}" portfolio?;
album.ispublic;Ez az album publikus. Ha kiveszed a pipát, újra privát lesz.;This is public. Uncheck, to make it private.;
photo.count;${photoCount} fotód van feltöltve ${categoryCount} kategóriába. ;You have ${photoCount} photos uploaded in ${categoryCount} albums.;
album.new;Új album létrehozása;Create new album;
license.agree;Szerzõdéses feltételek elfogadása;Agree Terms of service;
activate;Aktiválás;Activate;
files.uploaded;fájl feltöltve;file uploaded;
url.check;Az url csak ékezetnélküli betûket és számokat tartalmazhat. ;Just normal alphabet characters and numbers could the url contains.;
access.denied;A kért tartalom nem létezik vagy nincs jogod a megtekintéséhez.;Requested content doesn't exist or you don't have permission to access it.;
welcome.text;Kedves ${user.userName}! Üdvözlünk a <b>myFotoRoom.com</b> fiókodban!;Dear {0}! Welcome to your myFotoRoom.com account!;
welcome;Üdvözlünk;Welcome;
newest.gallery;Legújabb portfólió oldal;Newest gallery sites;
portfolio.about;{0} - Rólunk;{0} - About;
login.error;Azonosítás nem sikerült, a megadott adatokkal nem található felhasználó az adatbázisunkan!;Login error. Please try again or contact the system administrator.;
album.blog;Blogszerû megjelenés aktiválása. Próbáld ki ezt a funkciót ha a képekhez adtál meg, vagy meg szeretnél adni leírást!   ;Activate blog view. This feature is recommended if you have description for pictures.;
contact;Kapcsolat;Contact;
site.admin.email.comment;Ide érkeznek azok az üzenetek amelyeket a portfólió oldal Kapcsolat menüpontjából írnak.;Here you will receive e-mails written on your portfolio site Contact page.;
portfolio.setup.text;<u>Név</u> - A portfólió oldalad neve, címe.<br/><u>Url</u> - ezen az URL - en érheted el az oldal. ;<u>Url</u> - your page will be available on this URL. <u>Name</u> - The title of your portfolio page.;
photoDetail.saved;A fotó adatait elmentettük!;Photo data was saved!;
photo.name;Kép neve;Photo name;
allow.download;Látogatók számára képek letöltése engedélyzett.;Allow downloading pictures for visitors.;
error.report;Hibabejelentés;Error report;
manage.albums;Albumok;Albums;
uq_url;Ez az URL már használtaban van. Válasszon másikat!;This URL is already in use. Please choose an other!;
download.original;Eredeti letöltése;Download original;
album.public.desc;Legfrissebb publikus albumok.;Latest public albums.;
album.saved;Az albumot a megadott adatokkal elmentettük.;Album data was saved.;
portfolio.setup;Portfólió beállítások;Portfolio setup;
public.albums;Publikus albumok;Publikus albumok;
select;Válassz albumot:;Select;
upload.image;Képfeltöltés;Upload;
album.update.header;Album szerkesztése;Change album data;
text.saved;A szöveg elmentve!;Text is saved!;
enable.about;Rólunk menüpont;About page;
album.public.tooltip;Ez az album mindeki számára látható!;This album is available for everybody!;
add.to.album;Hozzáad;Add;
portfolio.about.empty;<p><strong>Munkásságom és minden amit tudni érdemes rólam.</strong><br></p><p>Ide írhatja mindazt amit magáról el szeretne mondani. (pl. végzettség tevékenységi kör, ...)<br></p><p>Milyen szolgáltatásokat nyújt? Eseményfotózás, portré fotózás, portfólió készítés, gyermekfotó, rendezvények fotózása, termékbemutatók katalógusok, ...<br type="_moz"></p><p>Hitvallása, gondolatai a fényképezésrõl...<br type="_moz"></p> ;My works and all you need to know about me. ;
empty.category.selection.not.allowed;Nincsenek képek a kategóriába, tölsön fel vagy másoljon bele!;There are no pictures in this category, please upload images!;
fullsynchronize;Teljes szinkronizáció;Full synchronization;
username;Név ;Your name;
password.again;Jelszó ismét;Password again;
fileupload.message;Válasszon ki egy képet;Please select a file to upload.;
portfolio.save.success;A portfólió oldal adatait elmentettük. Itt megnézheted <a href="http://{0}.myfotoroom.com" class="link-font">http://{0}.myfotoroom.com</a>-t és ellenõrizheted!;Your portfolio site data was saved. Please go to the <a href="http://{0}.myfotoroom.com" class="link-font">http://{0}.myfotoroom.com</a> and check them!;
select.portfolio;Minden album;Select portfolio;
upload.process;képfeldolgozás {0}/{1};image process {0}/{1} ;
send.message;Üzenet elküldése;Send message;
portfolio.url.error;Az Url már foglalt! Kérlek adj meg egy másikat!;This Url is already in use! Please choice other!;
privacy.button.desc;Oszd meg az albumot másokkal.;Share your album, show to others.;
emailaddress;Email cím;Email address;
signup.text;Az ûrlap kitöltését és elküldését követõen a rendszer levelet küld a megadott e-mail címre. Ebben található egy link, amelyre kattintva aktiválhatod a regisztrációt. ;After filling the form you will receive an email with a link. You should click on that link to activate your registration.;
portfolio.description.empty;Köszöntelek oldalamon!   ;Welcome to my home page! ;
album.setpublic;Legyen publikus, mindenki számára látható. ;Make it public, visible for everybody. ;
update.password;Jelszó módosítás;Update password;
fileupload.title;Képfeltöltés;File upload;
privacy.desc.edit;Adj szerkesztési lehetõséget myFotoRoom.com felhasználónak.;category.used.by.photo_category;${delete.forbidden} a kategóriában képek vannak. Ha törölni szeretnéd elõbb töröld a benne lévõ képeket!;${delete.forbidden} there are pictures. If you want to delete, remove the pictures first!;
private.gallery;Portfólió;Gallery;
ext.login.error;Az azonosítás a {0} rendszerében nem sikerült!  ;Authentication for {0} was not successful.;
mainpage;Fõoldal;Home;
email;E-mail;E-mail address;
constraint.error;Nem sikerült a mûvelete, mert használatban van.;Delete isn't possible because it is used.;
license;Felhasználási feltételek;Terms of Service;
update.error;Módosítás nem sikerült.;Update failed.;
sitename;Név;Name;
album.info;Itt hozhatsz létre albumokat képeid számára, majd osszthatod meg barátaiddal. A publikusnak jelölt albumokat mindenki láthatja.;Create albums for your images. Arrange your pictures in albums. Share your albums and make it public. ;
album.setrecommend.desc;(Jelöld meg ha a fõoldalra szeretnéd ajánlani az albumban lévõ képeket. Kérésedre rövid idõn belül választ küldünk. Lehetõleg fekvõ, nagyközönségnek publikálható, jó minõségû, érdekes, egyéni képeket várunk.);(Please check it if You would like your images to appear on the main page. At your request we will soon send a confirmation e-mail. Expectation are high quality, landscape pictures, wich are intresting,  unique and publishable.);
register.now;Itt regisztrálhatsz!;Registration here!;
public.top.albums;Legnézettebb publikus albumok;Top viewed;
